시군명,가축전염병명,농장소재지,축종명,감염두수,진단일자,병성감정기관명
포천시,결핵병,경기도 포천시 설운동,소-한우,1,2013-08-12,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,사슴-비분류,5,2013-09-06,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,1,2013-10-04,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,2,2013-10-11,경기북부 북부지소
포천시,결핵병,경기도 포천시 관인면 사정리,소-젖소,4,2013-10-14,경기북부 북부지소
포천시,결핵병,경기도 포천시 창수면 오가리,소-젖소,19,2013-10-18,경기북부 북부지소
포천시,결핵병,경기도 포천시 설운동,소-한우,1,2013-10-18,경기북부 북부지소
포천시,돼지생식기호흡기증후군,경기도 포천시 창수면 주원리,돼지-종돈,3,2013-11-14,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,사슴-비분류,6,2013-11-21,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,1,2013-12-12,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,1,2013-12-12,경기북부 북부지소
포천시,결핵병,경기도 포천시 관인면 사정리,소-젖소,1,2013-12-20,경기북부 북부지소
포천시,결핵병,경기도 포천시 일동면 유동리,소-젖소,1,2013-12-23,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,2,2014-03-21,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,1,2014-03-21,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,2,2014-03-24,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,사슴-비분류,4,2014-05-01,경기북부 북부지소
포천시,돼지생식기호흡기증후군,경기도 포천시 창수면 주원리,돼지-종돈,3,2014-05-19,경기북부 북부지소
포천시,결핵병,경기도 포천시 이동면 연곡리,소-한우,1,2014-05-23,경기북부 북부지소
포천시,결핵병,경기도 포천시 이동면 연곡리,소-한우,3,2014-05-26,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,1,2014-05-30,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 문암리,소-젖소,8,2014-05-30,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 자일리,소-한우,1,2014-06-26,경기도축산위생연구소
포천시,결핵병,경기도 포천시 영북면 야미리,사슴-비분류,4,2014-07-17,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 소회산리,소-젖소,1,2014-07-31,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 문암리,소-젖소,3,2014-08-07,경기북부 북부지소
포천시,결핵병,경기도 포천시 영북면 야미리,소-젖소,3,2014-08-08,경기북부 북부지소
포천시,결핵병,경기도 포천시 이동면 연곡리,소-한우,5,2014-08-14,경기북부 북부지소
포천시,결핵병,경기도 포천시 창수면 주원리,소-한우,1,2014-09-17,경기북부 북부지소
포천시,결핵병,경기도 포천시 자작동,소-젖소,2,2014-09-19,경기북부 북부지소
포천시,돼지생식기호흡기증후군,경기도 포천시 창수면 주원리,돼지-종돈,8,2014-10-30,경기북부 북부지소
포천시,결핵병,경기도 포천시 영중면 성동리,소-한우,1,2014-11-10,경기도북부축산위생연구소
포천시,결핵병,경기도 포천시 자작동,소-젖소,4,2014-11-20,경기북부 북부지소
포천시,결핵병,경기도 포천시 영중면 성동리,소-한우,6,2014-11-20,경기북부 북부지소
포천시,결핵병,경기도 포천시 가산면 마산리,소-한우,3,2014-11-26,경기도축산위생연구소
포천시,결핵병,경기도 포천시 가산면 마산리,소-한우,13,2014-12-01,경기북부 북부지소
포천시,결핵병,경기도 포천시 화현면 화현리,소-젖소,3,2014-12-05,경기북부 북부지소
포천시,고병원성 조류인플루엔자,경기도 포천시 영중면 거사리,닭-산란계,10,2015-01-26,조류질병과
포천시,결핵병,경기도 포천시 영중면 성동리,소-한우,1,2015-02-06,경기북부 북부지소
포천시,구제역,경기도 포천시 관인면 탄동리,돼지-비분류,994,2015-03-02,구제역진단과
포천시,결핵병,경기도 포천시 영북면 야미리,소-한우,1,2015-04-03,경기북부 북부지소
포천시,고병원성 조류인플루엔자,경기도 포천시 창수면 추동리,닭-백세미,10,2015-04-23,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 창수면 추동리,닭-토종닭,3,2015-04-23,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 일동면 길명리,닭-토종닭,5,2015-04-28,조류질병과
포천시,결핵병,경기도 포천시 군내면 하성북리,소-한우,1,2015-10-01,강원 가축위생시험소
포천시,결핵병,경기도 포천시 이동면 노곡리,소-한우,2,2016-01-25,인천 보건환경연구원
포천시,결핵병,경기도 포천시 이동면 노곡리,소-한우,2,2016-01-25,인천 보건환경연구원
포천시,결핵병,경기도 포천시 이동면 노곡리,소-한우,4,2016-02-01,경기북부 북부지소
포천시,결핵병,경기도 포천시 영중면 양문리,소-한우,1,2016-03-18,경기도축산위생연구소
포천시,결핵병,경기도 포천시 영중면 양문리,소-한우,5,2016-03-25,경기북부 북부지소
포천시,결핵병,경기도 포천시 영중면 양문리,소-한우,3,2016-04-01,경기북부 북부지소
포천시,결핵병,경기도 포천시 이동면 노곡리,소-한우,1,2016-04-22,경기북부 북부지소
포천시,결핵병,경기도 포천시 화현면 화현리,소-젖소,1,2016-04-28,경기북부 북부지소
포천시,결핵병,경기도 포천시 영중면 양문리,소-한우,1,2016-09-08,경기북부 북부지소
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 자일리,닭-산란계,0,2016-11-25,조류질병과
포천시,결핵병,경기도 포천시 창수면 오가리,소-한우,1,2016-12-01,경기 북부 북부지소
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 자일리,닭-산란계,0,2016-12-07,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 자일리,닭-산란계,0,2016-12-07,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 자일리,닭-산란계,0,2016-12-07,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 자일리,닭-산란계,0,2016-12-07,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 관인면 탄동리,닭-산란계,0,2016-12-09,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 야미리,닭-산란계,0,2016-12-09,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 자일리,닭-산란계,0,2016-12-09,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 자일리,닭-산란계,0,2016-12-09,조류질병과
포천시,고병원성 조류인플루엔자,경기도 포천시 영북면 자일리,닭-산란계,0,2016-12-09,조류질병과
