"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_계_10~19세","2022년08월_계_20~29세","2022년08월_계_30~39세","2022년08월_계_40~49세","2022년08월_계_50~59세","2022년08월_계_60~69세","2022년08월_계_70~79세","2022년08월_계_80~89세","2022년08월_계_90~99세","2022년08월_계_100세 이상","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0~9세","2022년08월_남_10~19세","2022년08월_남_20~29세","2022년08월_남_30~39세","2022년08월_남_40~49세","2022년08월_남_50~59세","2022년08월_남_60~69세","2022년08월_남_70~79세","2022년08월_남_80~89세","2022년08월_남_90~99세","2022년08월_남_100세 이상","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0~9세","2022년08월_여_10~19세","2022년08월_여_20~29세","2022년08월_여_30~39세","2022년08월_여_40~49세","2022년08월_여_50~59세","2022년08월_여_60~69세","2022년08월_여_70~79세","2022년08월_여_80~89세","2022년08월_여_90~99세","2022년08월_여_100세 이상"
"서울특별시 성동구 금호1가동(1120059000)","15,054","15,054","1,182","1,072","1,611","2,403","2,542","2,331","2,156","1,127","560","67","3","7,185","7,185","610","543","807","1,127","1,282","1,120","982","496","200","18","0","7,869","7,869","572","529","804","1,276","1,260","1,211","1,174","631","360","49","3"
"서울특별시 성동구 금호2.3가동(1120061500)","22,453","22,453","1,668","1,330","2,640","3,937","3,594","3,616","3,044","1,683","830","105","6","10,697","10,697","863","653","1,342","1,891","1,765","1,716","1,414","729","292","30","2","11,756","11,756","805","677","1,298","2,046","1,829","1,900","1,630","954","538","75","4"
"서울특별시 성동구 금호4가동(1120062000)","14,203","14,203","1,254","943","1,378","2,433","2,555","2,116","1,900","1,068","495","56","5","6,729","6,729","650","486","682","1,107","1,280","1,043","856","443","166","14","2","7,474","7,474","604","457","696","1,326","1,275","1,073","1,044","625","329","42","3"
"서울특별시 성동구 옥수동(1120064500)","25,781","25,781","2,438","1,644","2,595","4,592","4,505","3,805","3,442","1,786","845","122","7","11,982","11,982","1,216","814","1,199","2,070","2,224","1,749","1,551","793","326","36","4","13,799","13,799","1,222","830","1,396","2,522","2,281","2,056","1,891","993","519","86","3"
"서울특별시 성동구 성수1가제1동(1120065000)","16,333","16,333","987","1,032","2,391","2,866","2,274","2,991","2,369","951","412","56","4","8,109","8,109","527","534","1,211","1,412","1,122","1,476","1,205","449","159","12","2","8,224","8,224","460","498","1,180","1,454","1,152","1,515","1,164","502","253","44","2"
"서울특별시 성동구 성수1가제2동(1120066000)","12,233","12,233","640","799","1,845","2,283","1,850","1,900","1,665","838","380","33","0","6,006","6,006","327","414","882","1,146","904","944","829","398","154","8","0","6,227","6,227","313","385","963","1,137","946","956","836","440","226","25","0"
"서울특별시 성동구 성수2가제1동(1120067000)","15,510","15,510","693","796","2,071","2,506","2,069","2,776","2,802","1,209","530","54","4","8,103","8,103","357","405","1,074","1,364","1,118","1,492","1,493","563","224","12","1","7,407","7,407","336","391","997","1,142","951","1,284","1,309","646","306","42","3"
"서울특별시 성동구 성수2가제3동(1120069000)","10,646","10,646","529","491","1,890","1,848","1,397","1,705","1,522","822","395","45","2","5,323","5,323","279","256","881","910","730","887","811","393","163","12","1","5,323","5,323","250","235","1,009","938","667","818","711","429","232","33","1"
"서울특별시 성동구 송정동(1120072000)","10,257","10,257","437","540","1,644","1,538","1,423","1,846","1,683","781","317","46","2","5,420","5,420","235","295","835","851","797","1,000","902","369","121","14","1","4,837","4,837","202","245","809","687","626","846","781","412","196","32","1"
"서울특별시 성동구 용답동(1120079000)","11,626","11,626","304","574","2,427","1,776","1,514","1,969","1,603","961","450","46","2","6,029","6,029","162","285","1,070","940","869","1,165","888","452","188","10","0","5,597","5,597","142","289","1,357","836","645","804","715","509","262","36","2"
"서울특별시 광진구 (1121500000)","339,567","339,567","16,946","24,609","61,208","54,617","49,897","53,760","44,520","22,601","10,037","1,320","52","163,692","163,692","8,703","12,434","28,642","27,170","24,505","26,268","21,234","10,325","4,042","354","15","175,875","175,875","8,243","12,175","32,566","27,447","25,392","27,492","23,286","12,276","5,995","966","37"
"서울특별시 광진구 화양동(1121571000)","23,754","23,754","334","770","10,619","4,674","2,105","2,038","1,690","1,012","451","60","1","11,277","11,277","171","320","4,565","2,455","1,167","1,104","822","461","196","16","0","12,477","12,477","163","450","6,054","2,219","938","934","868","551","255","44","1"
"서울특별시 광진구 군자동(1121573000)","19,560","19,560","745","996","4,392","3,635","2,530","2,732","2,511","1,354","597","66","2","9,693","9,693","385","515","2,148","1,862","1,310","1,379","1,207","645","232","10","0","9,867","9,867","360","481","2,244","1,773","1,220","1,353","1,304","709","365","56","2"
